t,(Var=C2) C2,(Var=CP) CP,(Var=CT) CT,(Var=EmptySet) EmptySet,(Var=J_Reaction1) J_Reaction1,(Var=J_Reaction2) J_Reaction2,(Var=J_Reaction3) J_Reaction3,(Var=J_Reaction4) J_Reaction4,(Var=J_Reaction5) J_Reaction5,(Var=J_Reaction6) J_Reaction6,(Var=J_Reaction7) J_Reaction7,(Var=J_Reaction8) J_Reaction8,(Var=J_Reaction9) J_Reaction9,(Var=M) M,(Var=pM) pM,(Var=Y) Y,(Var=YP) YP
7.97E-006,748.9930360049,749251.006892828,1000000,0,0.0358514474,7.49E+008,7.49E+008,1.79E+001,0,15000,0,8.57E-008,4.50E+003,3.59E-002,249999.96421972,0.1194339993,1.43E-007
9.48E-006,749.1940654545,749250.805833792,1000000,0,0.04265933,7.49E+008,7.49E+008,2.13E+001,0,15000,0,1.21E-007,4.50E+003,4.27E-002,249999.957441423,0.1420974973,2.02E-007
1.12E-005,749.2401137116,749250.75974688,1000000,0,0.0501819501,7.49E+008,7.49E+008,2.50E+001,0,15000,0,1.68E-007,4.50E+003,5.02E-002,249999.949957458,0.1671344288,2.80E-007
1.36E-005,749.249821206,749250.749971815,1000000,0,0.0611495623,7.49E+008,7.49E+008,3.05E+001,0,15000,0,2.49E-007,4.50E+003,6.11E-002,249999.939057416,0.2036258902,4.15E-007
1.82E-005,749.2507389733,749250.748888653,1000000,0,0.0820294743,7.49E+008,7.49E+008,4.09E+001,0,15000,0,4.49E-007,4.50E+003,8.20E-002,249999.918342898,0.2730609978,7.48E-007
3.40E-005,749.2507483629,749250.747954974,1000000,0,0.1531311841,7.49E+008,7.49E+008,7.63E+001,0,15000,0,1.56E-006,4.50E+003,1.53E-001,249999.848165478,0.5091468534,2.61E-006
1.92E-004,749.2507095701,749250.708288011,1000000,0,0.8644376095,7.49E+008,7.49E+008,4.26E+002,0,15000,0,4.98E-005,4.50E+003,8.64E-001,249999.176564808,2.8406548552,8.30E-005
8.64E-004,749.2499543727,749249.94867998,1000000,0,3.8841704493,7.49E+008,7.49E+008,1.82E+003,0,15000,0,1.01E-003,4.50E+003,3.88E+000,249996.917195197,12.1498688557,1.68E-003
2.27E-003,749.2455814021,749245.56687694,1000000,0,10.2160966333,7.49E+008,7.49E+008,4.33E+003,0,15000,0,6.97E-003,4.50E+003,1.02E+001,249994.971445023,28.8936564095,1.16E-002
4.88E-003,749.2296064308,749229.576801352,1000000,0,21.888579469,7.49E+008,7.49E+008,7.78E+003,0,15000,0,3.20E-002,4.50E+003,2.19E+001,249999.305012747,51.8938597661,5.34E-002
7.73E-003,749.20365709,749203.612180781,1000000,0,34.6672848867,7.49E+008,7.49E+008,1.03E+004,0,15000,0,8.04E-002,4.50E+003,3.47E+001,250012.516877242,68.6862835749,1.34E-001
1.06E-002,749.1719011152,749171.841837475,1000000,0,47.4104792978,7.49E+008,7.49E+008,1.19E+004,0,15000,0,1.51E-001,4.50E+003,4.74E+001,250031.575782111,79.6307125935,2.51E-001
1.34E-002,749.1363740245,749136.300984059,1000000,0,60.1185496379,7.49E+008,7.49E+008,1.30E+004,0,15000,0,2.42E-001,4.50E+003,6.01E+001,250054.444092278,86.76449586,4.04E-001
